group,layer_no,layer_table,coord_no,field_id,col_id,title
gesui_osui,24001,Atr24001_マンホール,607,SAUID,userID,
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD000,UserID,ユーザID
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD001,NO_,zukei_id
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD002,KEY_ID,人孔キー
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD003,KUBUN,下水道区分名
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD004,SHUBETSU,下水種別名称
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD005,SHORIBUNKU_MEI,処理分区名称
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD006,HAISUIKUIKI_MEI,排水区名称
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD007,ZUMEN_NO,図面番号
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD008,KITEN_UMU,起点人孔区分
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD009,MAHOLE_SHU,人孔種別名称
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD010,NAIKEI_TYOU,人孔内径１(cm) 長辺/直径
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD011,NAIKEI_TAN,人孔内径２(cm) 短辺
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD012,FUKASA,人孔深(m)
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD013,JIBANKOU,地盤高(m)
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD014,PONPU_UMU,マンホールポンプ区分
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD015,FUKU_UMU,副管有無
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD016,DOUROKANRISHA,道路管理者名
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD017,HOSOUSHUBETSU,舗装種別
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD018,SEKOU_YEAR,施工年度
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD019,FUSETSU_YEAR,布設年度
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD020,BIKOU,備考
gesui_osui,24001,Atr24001_マンホール,607,SAFIELD021,SHISAN_NO,資産番号
gesui_osui,24005,,607,SAUID,userID,
gesui_osui,24006,,607,SAUID,userID,
gesui_osui,24021,Atr24021_管渠,607,SAUID,userID,
gesui_osui,24021,Atr24021_管渠,607,SAFIELD000,SEKOU_YEAR,施工年度
gesui_osui,24021,Atr24021_管渠,607,SAFIELD001,KANSHU_MEI,管種名称
gesui_osui,24021,Atr24021_管渠,607,SAFIELD002,KANKEI_HABA,管径１(mm) 径/幅
gesui_osui,24021,Atr24021_管渠,607,SAFIELD003,JO_DOKABIRU,上流土被り(m)
gesui_osui,24021,Atr24021_管渠,607,SAFIELD004,KA_DOKABURI,下流土被り(m)
gesui_osui,24026,,607,SAUID,userID,
