pipe_id,install_year,material,diameter_mm,length_m,district
P00001,2012,DIP,75,72.9,A
P00002,1977,PE,300,30.4,C
P00004,1981,DIP,400,66.7,B
P00005,1988,PE,150,86.0,A
P00006,2020,DIP,300,37.0,C
P00007,2009,DIP,100,66.4,A
P00008,2000,PE,250,101.9,A
P00009,1978,PE,250,29.5,B
P00010,1980,PE,200,90.9,B
P00011,2035,SP,75,91.9,A
P00012,1989,SP,400,65.8,C
P00013,1999,CIP,250,17.8,B
P00014,1997,VP,75,105.1,B
P00015,1975,PE,50,73.9,B
P00016,1984,VP,50,32.7,C
P00018,1978,PE,150,87.0,B
P00019,1972,VP,150,12.4,A
P00020,2005,DIP,150,12.8,A
P00021,1978,PE,100,88.2,C
P00022,1971,DIP,300,45.7,B
P00023,1971,DIP,300,88.7,A
P00024,1982,SP,150,105.6,A
P00025,1999,DIP,75,111.5,A
P00026,1968,VP,0,5.2,B
P00027,2011,PE,400,22.8,B
P00028,1985,DIP,50,72.2,C
P00029,2019,VP,75,73.4,C
P00030,2002,PE,50,76.2,B
P00031,2007,CIP,200,35.5,A
P00032,1969,DIP,400,76.4,C
P00033,2024,CIP,75,106.1,B
P00034,2016,PE,50,81.8,C
P00035,1972,DIP,100,36.3,C
P00036,1997,SP,200,109.1,A
P00037,2014,VP,200,23.6,B
P00038,2021,VP,50,101.0,C
P00039,2024,DIP,250,29.2,A
P00040,2004,VP,150,104.4,A
P00041,2024,SP,150,-3.0,C
P00042,2017,SP,250,40.1,A
P00043,1969,CIP,250,78.8,B
P00044,2021,CIP,100,71.8,B
P00045,1992,PE,75,49.3,C
P00046,1988,PE,150,46.9,A
P00047,1972,CIP,200,81.7,B
P00048,1989,VP,200,51.7,A
P00049,1985,SP,400,55.8,A
P00050,2007,DIP,200,64.3,C
P00051,1984,VP,150,21.9,A
P00052,1991,PE,150,87.6,B
P00053,2013,DIP,300,30.2,C
P00054,1994,VP,400,81.8,C
P00055,2011,PE,300,100.5,C
P00056,2013,dip,200,93.1,C
P00057,1980,CIP,250,41.8,C
P00058,1978,DIP,300,51.9,C
P00059,2014,PE,50,103.5,C
P00060,2019,SP,150,61.1,B
P00061,1990,VP,400,110.7,C
P00062,1970,SP,100,104.7,A
P00063,2013,SP,200,91.5,B
P00064,1987,VP,75,94.8,C
P00065,2004,VP,150,19.5,C
P00066,1988,VP,75,94.4,A
P00067,2008,SP,300,113.3,A
P00068,2014,CIP,75,96.6,C
P00069,1997,CIP,50,102.7,B
P00070,2010,VP,300,25.3,C
P00071,1995,SP,300,100.0,C
P00072,2021,SP,150,91.3,C
P00073,1976,SP,150,45.8,B
P00074,1965,PE,150,14.8,C
P00075,2010,SP,400,96.2,A
P00076,1988,SP,250,53.9,C
P00077,1979,DIP,150,41.3,C
P00078,1995,CIP,200,117.8,A
P00079,1973,CIP,50,117.0,C
P00080,1971,DIP,200,59.0,B
P00081,1972,DIP,300,61.6,C
P00082,1984,DIP,150,18.6,B
P00083,1993,SP,200,103.9,B
P00084,2013,VP,150,35.4,A
P00085,1993,PE,400,38.5,A
P00086,1979,CIP,150,53.9,C
P00087,1968,VP,200,73.4,C
P00088,1990,CIP,400,55.3,C
P00089,1970,VP,50,120.0,C
P00090,1998,SP,200,25.9,C
P00091,1991,CIP,250,82.1,A
P00092,2017,PE,50,57.3,B
P00093,2017,DIP,400,52.5,A
P00094,1968,VP,200,68.2,B
P00095,2003,VP,100,40.7,A
P00096,1994,DIP,100,62.3,C
P00097,1995,VP,400,68.4,B
P00098,1969,CIP,300,44.1,C
P00100,1985,VP,150,70.8,A
P00101,2023,SP,300,118.7,C
P00102,2002,CIP,75,105.5,B
P00103,2020,VP,75,59.0,B
P00104,2019,PE,300,114.7,C
P00105,1969,VP,200,119.7,C
P00106,1971,SP,100,84.8,A
P00107,1974,VP,300,70.1,A
P00108,1980,SP,100,31.7,C
P00109,2022,CIP,100,13.5,B
P00110,1994,CIP,150,119.9,B
P00111,2009,CIP,50,117.5,C
P00112,1968,PE,400,100.8,B
P00113,1977,PE,200,82.9,C
P00114,2005,DIP,200,95.7,A
P00115,2012,SP,100,28.1,C
P00116,1975,CIP,400,116.2,B
P00117,1974,VP,300,116.2,C
P00118,1994,CIP,200,72.2,C
P00119,2021,PE,250,110.3,A
P00120,2006,SP,75,21.1,A
P00121,1973,SP,400,47.7,C
P00122,2021,SP,75,100.9,C
P00123,1993,SP,150,103.4,A
P00124,1968,SP,200,26.8,A
P00125,2005,PE,50,10.8,B
P00126,2013,PE,150,72.4,A
P00127,2019,VP,100,67.1,A
P00128,2015,VP,250,6.8,B
P00129,1995,SP,250,64.0,A
P00130,2023,PE,200,57.7,A
P00131,1996,SP,75,108.4,B
P00132,2000,CIP,300,119.4,C
P00133,1972,PE,150,54.5,A
P00134,1985,SP,250,81.5,B
P00135,1970,DIP,300,16.1,C
P00136,2000,CIP,75,52.2,C
P00137,1983,PE,200,45.4,C
P00138,1987,PE,250,18.2,B
P00139,2017,PE,50,75.0,C
P00140,1984,CIP,250,5.7,A
P00141,1966,DIP,150,48.3,B
P00142,2001,PE,75,106.6,A
P00143,2007,SP,400,74.8,B
P00144,1983,PE,400,65.6,B
P00145,1984,VP,100,92.9,B
P00146,1989,PE,150,62.5,C
P00147,1966,SP,75,104.1,C
P00148,1990,DIP,250,24.8,C
P00149,1971,VP,300,72.7,C
P00150,2014,VP,75,63.7,A
P00151,2017,VP,150,16.8,B
P00152,1976,SP,400,91.8,C
P00153,2004,CIP,250,22.4,A
P00154,1987,PE,75,40.7,B
P00155,2019,DIP,300,58.2,C
P00156,2001,VP,250,74.6,C
P00157,1986,DIP,100,9.5,C
P00158,1988,CIP,300,52.0,B
P00159,1986,DIP,300,37.7,C
P00160,1970,PE,100,110.4,B
P00161,1970,CIP,300,79.0,B
P00162,2008,PE,75,79.3,B
P00163,1986,SP,150,31.1,A
P00164,1999,PE,50,81.1,C
P00165,2014,PE,100,87.9,A
P00166,1983,SP,150,66.4,B
P00167,2008,PE,400,58.1,B
P00168,1977,PE,100,105.4,A
P00169,2019,PE,75,37.8,A
P00170,2023,VP,400,106.7,A
P00171,1970,CIP,150,8.2,A
P00172,1983,SP,100,92.3,B
P00173,2018,VP,300,17.8,B
P00174,2004,SP,75,17.7,B
P00175,1974,CIP,300,5.2,B
P00176,1988,DIP,50,49.9,B
P00177,1987,DIP,250,32.7,C
P00178,1967,CIP,250,98.6,A
P00179,1976,VP,75,87.3,B
P00180,1985,CIP,300,118.7,C
P00181,2020,DIP,250,36.4,B
P00182,1986,VP,400,84.6,B
P00183,1970,SP,100,67.7,B
P00184,2010,SP,100,84.3,B
P00185,1992,CIP,50,13.6,C
P00186,1966,VP,400,9.0,A
P00187,1967,PE,100,83.1,B
P00188,1990,CIP,200,33.7,A
P00189,1972,CIP,200,86.0,A
P00190,1972,VP,75,57.0,C
P00191,1985,CIP,75,68.2,B
P00192,2005,VP,250,63.5,A
P00193,1988,PE,250,58.8,C
P00194,2010,SP,300,93.5,C
P00195,2008,PE,250,19.8,C
P00196,2023,DIP,75,64.6,B
P00197,1998,CIP,75,33.8,C
P00198,1970,PE,100,73.1,C
P00199,2018,PE,50,99.9,A
P00200,1978,PE,300,76.1,A
X90001,1998,VP,75,22.5,B
X90002,2003,PE,50,14.0,C
