# 出典: 半田市「水道管路等データ」(CC-BY 4.0)を加工して作成
# 本ファイルは手法デモの試算値。ml_pred_urgent は合成の緊急度ラベル(緊急度Ⅱ以上相当か否か)による参考値であり実測に基づく評価ではない
SAUID,sewer_type,sekou_year,age_filled,age_imputed,kanshu,mat_family,kankei_mm,dokaburi_up_m,length_m,service_ratio,p_deterioration,consequence,risk_score,priority_rank,ml_inspected,ml_pred_urgent,terrain_name,coast_dist_m,avs30,soft_ground,double_risk
12174,雨水,1985.0,41.0,False,,その他,1650.0,2.586,70.63,0.9111111111111111,0.3697397770822487,1.0,0.3697,A,True,0.0141,干拓地,1123.5,236.3,True,True
12176,雨水,1985.0,41.0,False,,その他,1650.0,2.323,38.97,0.9111111111111111,0.3697397770822487,1.0,0.3697,A,False,0.0475,干拓地,1068.6,236.3,True,True
12175,雨水,1985.0,41.0,False,,その他,1650.0,2.418,31.19,0.9111111111111111,0.3697397770822487,1.0,0.3697,A,False,0.0911,干拓地,1090.5,236.3,True,True
18997,汚水,1986.0,40.0,False,ヒューム管･推進管,ヒューム管,900.0,6.909,83.62,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,False,0.0564,砂礫質台地,1066.6,367.6,False,False
9647,汚水,1986.0,40.0,False,ヒューム管,ヒューム管,900.0,7.493,84.78,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,False,0.0564,砂礫質台地,1089.8,363.6,False,False
9664,汚水,1986.0,40.0,False,ヒューム管,ヒューム管,900.0,7.08,78.17,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,False,0.0564,砂礫質台地,1147.2,363.6,False,False
15960,汚水,1986.0,40.0,False,ヒューム管,ヒューム管,900.0,6.293,70.48,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,False,0.0766,砂礫質台地,1060.5,367.6,False,False
15963,汚水,1986.0,40.0,False,ヒューム管･推進管,ヒューム管,900.0,7.469,81.62,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,False,0.0564,砂礫質台地,1075.7,363.6,False,False
9610,汚水,1986.0,40.0,False,ヒューム管,ヒューム管,900.0,7.437,82.62,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,True,0.0564,砂礫質台地,1110.8,363.6,False,False
9596,汚水,1986.0,40.0,False,ヒューム管,ヒューム管,900.0,7.181,48.32,0.8888888888888888,0.3392436312341827,0.9,0.3053,A,False,0.2232,砂礫質台地,1131.4,363.6,False,False
12957,汚水,1987.0,39.0,False,ヒューム管,ヒューム管,900.0,6.422,62.89,0.8666666666666667,0.3100255188723876,0.9,0.279,A,False,0.0766,干拓地,1047.6,236.3,True,True
12868,汚水,1987.0,39.0,False,ヒューム管,ヒューム管,900.0,6.576,77.58,0.8666666666666667,0.3100255188723876,0.9,0.279,A,False,0.0564,干拓地,1055.5,236.3,True,True
12960,汚水,1987.0,39.0,False,ヒューム管,ヒューム管,900.0,6.036,92.83,0.8666666666666667,0.3100255188723876,0.9,0.279,A,True,0.0564,干拓地,1042.1,236.3,True,True
15862,汚水,1987.0,39.0,False,ヒューム管,ヒューム管,900.0,6.205,88.18,0.8666666666666667,0.3100255188723876,0.9,0.279,A,False,0.0564,砂礫質台地,1048.0,367.6,False,False
15860,汚水,1987.0,39.0,False,ヒューム管,ヒューム管,900.0,5.918,77.33,0.8666666666666667,0.3100255188723876,0.9,0.279,A,False,0.0564,干拓地,1041.9,236.3,True,True
22727,雨水,1989.0,37.0,False,,その他,2000.0,,125.24,0.8222222222222222,0.25603750867524194,1.0,0.256,A,True,0.6994,砂礫質台地,1042.4,367.6,False,False
11901,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,2000.0,4.09,138.85,0.8222222222222222,0.25603750867524194,1.0,0.256,A,False,0.0655,干拓地,1038.0,236.3,True,True
11923,雨水,1989.0,37.0,False,ヒューム管,ヒューム管,2600.0,4.89,69.14,0.8222222222222222,0.25603750867524194,1.0,0.256,A,True,0.0126,干拓地,788.8,229.9,True,True
8880,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,1350.0,4.384,146.87,0.8222222222222222,0.25603750867524194,1.0,0.256,A,True,0.0843,干拓地,935.6,236.3,True,True
8895,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,2000.0,3.187,64.0,0.8222222222222222,0.25603750867524194,1.0,0.256,A,False,0.0135,砂礫質台地,1055.7,367.6,False,False
11902,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,2000.0,0.0,115.0,0.8222222222222222,0.25603750867524194,1.0,0.256,A,False,0.3133,干拓地,1047.1,236.3,True,True
11903,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,2400.0,4.881,136.47,0.8222222222222222,0.25603750867524194,1.0,0.256,A,False,0.0655,干拓地,1000.0,236.3,True,True
9276,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,900.0,6.565,10.34,0.8444444444444444,0.28224894304226,0.9,0.254,A,False,0.2098,砂州・砂礫州,1073.4,260.2,False,False
12970,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,900.0,6.619,60.51,0.8444444444444444,0.28224894304226,0.9,0.254,A,False,0.0907,砂州・砂礫州,1067.6,260.2,False,False
12858,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,900.0,6.565,50.83,0.8444444444444444,0.28224894304226,0.9,0.254,A,False,0.0907,砂州・砂礫州,1078.1,260.2,False,False
8898,雨水,1990.0,36.0,False,ヒューム管,ヒューム管,1200.0,2.588,43.77,0.8,0.23147521650098238,1.0,0.2315,A,False,0.0844,砂礫質台地,1101.6,367.6,False,False
6200,雨水,1990.0,36.0,False,ヒューム管･推進管,ヒューム管,1200.0,3.249,16.62,0.8,0.23147521650098238,1.0,0.2315,A,False,0.0733,砂礫質台地,1071.5,367.6,False,False
5980,雨水,1990.0,36.0,False,ヒューム管･推進管,ヒューム管,1650.0,5.459,43.54,0.8,0.23147521650098238,1.0,0.2315,A,False,0.0265,砂礫質台地,1786.9,392.8,False,False
6192,雨水,1990.0,36.0,False,ヒューム管,ヒューム管,1200.0,2.663,44.22,0.8,0.23147521650098238,1.0,0.2315,A,False,0.0439,砂礫質台地,1145.6,367.6,False,False
6123,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,900.0,2.952,49.71,0.8222222222222222,0.25603750867524194,0.9,0.2304,A,True,0.0952,干拓地,1031.4,236.3,True,True
6124,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,900.0,4.235,25.49,0.8222222222222222,0.25603750867524194,0.9,0.2304,A,False,0.1286,干拓地,1008.5,236.3,True,True
6122,雨水,1989.0,37.0,False,ヒューム管･推進管,ヒューム管,900.0,2.8,77.37,0.8222222222222222,0.25603750867524194,0.9,0.2304,A,True,0.0704,砂礫質台地,1075.9,351.5,False,False
8600,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,800.0,5.79,88.72,0.8444444444444444,0.28224894304226,0.8,0.2258,A,False,0.0669,砂州・砂礫州,1213.4,260.2,False,False
8596,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,800.0,9.499,88.88,0.8444444444444444,0.28224894304226,0.8,0.2258,A,False,0.0669,砂州・砂礫州,1297.9,260.2,False,False
12926,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,800.0,4.866,18.22,0.8444444444444444,0.28224894304226,0.8,0.2258,A,False,0.2188,砂州・砂礫州,1164.0,260.2,False,False
10403,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,800.0,9.974,91.78,0.8444444444444444,0.28224894304226,0.8,0.2258,A,False,0.0669,砂礫質台地,1385.9,373.4,False,False
10407,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,800.0,8.312,95.25,0.8444444444444444,0.28224894304226,0.8,0.2258,A,False,0.0669,砂礫質台地,1437.3,373.4,False,False
8741,汚水,1988.0,38.0,False,ヒューム管,ヒューム管,800.0,4.866,72.5,0.8444444444444444,0.28224894304226,0.8,0.2258,A,False,0.0763,砂州・砂礫州,1120.2,260.2,False,False
19871,雨水,,35.0,True,ヒューム管,ヒューム管,1100.0,0.472,12.95,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,True,0.1553,砂礫質台地,1131.1,384.6,False,False
19875,雨水,,35.0,True,ヒューム管,ヒューム管,1350.0,1.627,50.85,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.1231,砂礫質台地,1263.7,380.4,False,False
6119,雨水,,35.0,True,ヒューム管,ヒューム管,1350.0,1.597,181.57,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.5273,砂礫質台地,1101.3,351.5,False,False
20536,雨水,,35.0,True,ヒューム管･推進管,ヒューム管,1650.0,4.313,54.99,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,True,0.0112,三角州・海岸低地,2494.1,202.8,True,True
20563,雨水,1991.0,35.0,False,ヒューム管,ヒューム管,1200.0,2.49,59.68,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.0713,砂礫質台地,1761.7,408.6,False,False
22589,雨水,,35.0,True,ヒューム管,ヒューム管,1000.0,,29.47,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,True,0.5288,丘陵,2419.2,395.5,False,False
20553,雨水,1991.0,35.0,False,ヒューム管,ヒューム管,1650.0,6.392,178.74,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,True,0.0193,砂礫質台地,1780.7,392.8,False,False
19910,雨水,,35.0,True,ヒューム管,ヒューム管,2000.0,0.0,114.6,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.0794,砂礫質台地,2111.7,357.3,False,False
22588,雨水,,35.0,True,ヒューム管,ヒューム管,1000.0,,7.21,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.5808,砂礫質台地,2420.6,387.1,False,False
20564,雨水,1991.0,35.0,False,ヒューム管,ヒューム管,1350.0,3.58,132.69,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.0884,砂礫質台地,1737.1,392.5,False,False
6173,雨水,,35.0,True,ヒューム管,ヒューム管,1500.0,1.638,70.75,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.1256,干拓地,776.8,220.6,True,True
20342,雨水,1991.0,35.0,False,ヒューム管,ヒューム管,1200.0,3.655,10.31,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.0778,砂礫質台地,1727.0,392.5,False,False
20391,雨水,,35.0,True,ヒューム管,ヒューム管,1100.0,1.822,52.94,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,True,0.1313,三角州・海岸低地,2375.4,207.5,True,True
22517,雨水,,35.0,True,ヒューム管,ヒューム管,1350.0,,18.97,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.2041,丘陵,3761.3,334.6,False,False
11730,雨水,,35.0,True,ヒューム管,ヒューム管,1200.0,3.625,54.06,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.0223,三角州・海岸低地,2492.3,207.5,True,True
6038,雨水,,35.0,True,ヒューム管,ヒューム管,900.0,0.684,43.59,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.323,干拓地,1260.7,229.9,True,True
20388,雨水,,35.0,True,ヒューム管,ヒューム管,1100.0,1.976,36.5,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,False,0.1563,砂礫質台地,2278.2,421.4,False,False
20392,雨水,,35.0,True,ヒューム管,ヒューム管,1100.0,1.882,33.28,0.7777777777777778,0.20860852732604496,1.0,0.2086,A,True,0.1503,三角州・海岸低地,2411.1,207.5,True,True
