span_id,pipe_no,distance_m,item,rank,note
9596,4.0,8.0,破損,a,軸方向クラック幅5mm超(合成)
9596,,,腐食,A,
15960,9.0,18.4,継手ズレ,a,脱却(合成)
15960,5.0,11.1,モルタル付着,c,
15960,24.0,48.6,モルタル付着,c,
15963,2.0,4.3,クラック,a,
15963,6.0,13.0,クラック,a,
15963,14.0,28.8,クラック,a,
15963,8.0,16.3,クラック,a,
15963,17.0,34.9,クラック,a,
15963,20.0,41.2,クラック,a,
15963,1.0,2.0,クラック,a,
15963,18.0,37.2,クラック,a,
15963,,,たるみ,B,
9664,28.0,56.5,浸入水,a,
9664,11.0,22.1,浸入水,a,
9664,9.0,18.1,浸入水,a,
9664,5.0,11.3,浸入水,a,
9664,7.0,14.9,浸入水,a,
9664,25.0,51.2,浸入水,a,
9647,30.0,60.0,クラック,a,同一箇所テスト(合成)
9647,30.0,60.0,浸入水,b,同一箇所テスト(合成)
9647,,,腐食,B,
9610,8.0,17.1,浸入水,b,
9610,25.0,51.2,浸入水,b,
9610,6.0,13.3,浸入水,b,
9610,18.0,36.7,モルタル付着,b,
9610,10.0,20.6,浸入水,b,
9610,27.0,55.1,モルタル付着,b,
9610,,,腐食,B,
18997,5.0,11.3,モルタル付着,c,
18997,11.0,22.5,モルタル付着,c,
18997,16.0,33.0,モルタル付着,c,
18997,6.0,12.6,モルタル付着,c,
18997,15.0,31.4,モルタル付着,c,
18997,13.0,26.7,モルタル付着,c,
18997,9.0,18.4,モルタル付着,c,
18997,21.0,42.4,モルタル付着,c,
18997,23.0,46.8,モルタル付着,c,
18997,18.0,36.4,モルタル付着,c,
18997,8.0,16.9,モルタル付着,c,
18997,22.0,45.3,モルタル付着,c,
18997,33.0,66.6,モルタル付着,c,
18997,2.0,4.3,モルタル付着,c,
18997,24.0,49.5,モルタル付着,c,
18997,27.0,54.8,モルタル付着,c,
18997,26.0,52.1,モルタル付着,c,
18997,29.0,58.1,モルタル付着,c,
18997,28.0,56.2,モルタル付着,c,
18997,19.0,38.9,モルタル付着,c,
18997,4.0,9.2,モルタル付着,c,
18997,10.0,20.6,モルタル付着,c,
15860,5.0,11.1,モルタル付着,c,
15860,25.0,50.5,モルタル付着,c,
15860,30.0,60.2,浸入水,c,
15860,17.0,35.3,モルタル付着,c,
12868,,,たるみ,C,
12960,17.0,35.5,破損,a,軸方向クラック幅5mm超(合成)
12960,,,腐食,A,
15862,12.0,24.8,継手ズレ,a,脱却(合成)
15862,7.0,14.6,クラック,c,
15862,20.0,41.4,モルタル付着,c,
15862,33.0,66.5,モルタル付着,c,
11903,2.0,5.1,クラック,a,
11903,8.0,16.2,クラック,a,
11903,24.0,48.7,クラック,a,
11903,52.0,104.8,クラック,a,
11903,20.0,40.4,クラック,a,
11903,16.0,33.3,クラック,a,
11903,4.0,8.6,クラック,a,
11903,51.0,102.3,クラック,a,
11903,37.0,74.8,クラック,a,
11903,6.0,13.1,クラック,a,
11903,47.0,94.3,クラック,a,
11903,32.0,64.5,クラック,a,
11903,5.0,11.5,クラック,a,
11903,35.0,71.0,クラック,a,
11903,,,たるみ,B,
11902,29.0,58.9,浸入水,a,
11902,34.0,68.3,浸入水,a,
11902,47.0,94.3,浸入水,a,
11902,8.0,16.1,浸入水,a,
11902,16.0,32.9,浸入水,a,
11902,15.0,30.3,浸入水,a,
11902,5.0,11.4,浸入水,a,
11902,22.0,45.3,浸入水,a,
11902,2.0,4.1,浸入水,a,
11901,16.0,32.0,クラック,a,同一箇所テスト(合成)
11901,16.0,32.0,浸入水,b,同一箇所テスト(合成)
11901,,,腐食,B,
11923,9.0,18.4,樹木根侵入,b,
11923,22.0,44.3,樹木根侵入,b,
11923,16.0,32.5,樹木根侵入,b,
11923,7.0,15.3,樹木根侵入,b,
11923,18.0,36.1,クラック,b,
11923,,,腐食,B,
8895,24.0,48.1,モルタル付着,c,
8895,11.0,23.0,モルタル付着,c,
8895,4.0,8.8,モルタル付着,c,
8895,8.0,16.0,モルタル付着,c,
8895,7.0,14.1,モルタル付着,c,
8895,22.0,45.1,モルタル付着,c,
8895,18.0,36.4,モルタル付着,c,
8895,15.0,30.6,モルタル付着,c,
8895,5.0,10.7,モルタル付着,c,
8895,14.0,29.3,モルタル付着,c,
8895,6.0,13.4,モルタル付着,c,
8895,20.0,40.2,モルタル付着,c,
8895,23.0,46.0,モルタル付着,c,
8895,26.0,52.6,モルタル付着,c,
8895,2.0,5.4,モルタル付着,c,
8895,17.0,35.2,モルタル付着,c,
8895,9.0,18.4,モルタル付着,c,
8880,45.0,90.4,クラック,c,
8880,47.0,95.1,モルタル付着,c,
8880,51.0,102.5,モルタル付着,c,
8880,36.0,72.7,モルタル付着,c,
8880,43.0,87.4,クラック,c,
8880,46.0,92.1,クラック,c,
8880,32.0,65.3,モルタル付着,c,
9276,,,たるみ,C,
12858,13.0,26.2,破損,a,軸方向クラック幅5mm超(合成)
12858,,,腐食,A,
5980,8.0,16.9,継手ズレ,a,脱却(合成)
5980,2.0,5.0,浸入水,c,
6200,5.0,10.5,クラック,a,
6200,7.0,14.4,クラック,a,
6200,,,たるみ,B,
8898,11.0,22.2,浸入水,a,
8898,8.0,17.0,浸入水,a,
8898,9.0,18.7,浸入水,a,
8898,7.0,15.4,浸入水,a,
6192,3.0,6.0,クラック,a,同一箇所テスト(合成)
6192,3.0,6.0,浸入水,b,同一箇所テスト(合成)
6192,,,腐食,B,
6124,1.0,2.8,クラック,b,
6124,8.0,17.4,浸入水,b,
6124,,,腐食,B,
6123,3.0,7.0,モルタル付着,c,
6123,8.0,16.8,モルタル付着,c,
6123,12.0,25.4,モルタル付着,c,
6123,10.0,20.2,モルタル付着,c,
6123,6.0,13.3,モルタル付着,c,
6123,19.0,38.4,モルタル付着,c,
6123,14.0,29.3,モルタル付着,c,
6123,9.0,19.1,モルタル付着,c,
6123,18.0,36.2,モルタル付着,c,
6123,5.0,10.4,モルタル付着,c,
6123,17.0,34.3,モルタル付着,c,
6123,13.0,26.5,モルタル付着,c,
6123,1.0,3.0,モルタル付着,c,
6122,17.0,34.1,浸入水,c,
6122,32.0,65.0,クラック,c,
6122,4.0,9.1,クラック,c,
6122,6.0,12.0,モルタル付着,c,
8596,,,たるみ,C,
8741,3.0,7.4,破損,a,軸方向クラック幅5mm超(合成)
8741,,,腐食,A,
10407,10.0,20.8,継手ズレ,a,脱却(合成)
10407,24.0,48.2,浸入水,c,
10407,38.0,77.3,浸入水,c,
10407,36.0,72.3,浸入水,c,
12926,2.0,4.2,クラック,a,
12926,6.0,13.2,クラック,a,
12926,,,たるみ,B,
10403,27.0,55.1,浸入水,a,
10403,10.0,20.5,浸入水,a,
10403,16.0,33.4,浸入水,a,
10403,11.0,23.2,浸入水,a,
10403,12.0,25.3,浸入水,a,
10403,38.0,77.2,浸入水,a,
10403,2.0,4.4,浸入水,a,
10403,6.0,13.2,浸入水,a,
20250,1.0,2.0,クラック,a,同一箇所テスト(合成)
20250,1.0,2.0,浸入水,b,同一箇所テスト(合成)
20250,,,腐食,B,
20389,13.0,26.3,浸入水,b,
20389,14.0,28.5,モルタル付着,b,
20389,1.0,2.0,浸入水,b,
20389,,,腐食,B,
20390,4.0,8.5,モルタル付着,c,
20390,7.0,14.8,モルタル付着,c,
20390,6.0,13.0,モルタル付着,c,
20390,3.0,7.3,モルタル付着,c,
20390,1.0,2.5,モルタル付着,c,
20390,9.0,18.0,モルタル付着,c,
20391,9.0,18.2,クラック,c,
20391,6.0,13.1,浸入水,c,
20392,,,たるみ,C,
20242,6.0,12.7,破損,a,軸方向クラック幅5mm超(合成)
20242,,,腐食,A,
