span_id,material,diameter_mm,n_pipes,腐食,たるみ,発生率ランク,a率%,ab率%,abc率%,特例適用,緊急度,判定根拠
9596,rc,900,20,A,,A,5.0,5.0,5.0,○,Ⅰ,"破損a(管No.4, 8.0m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=A / たるみ=なし / ランクA×2・B×0 → 緊急度Ⅰ(ランクAが2項目以上)"
15960,rc,900,29,,,A,3.4,3.4,10.3,○,Ⅱ,"継手ズレa(管No.9, 18.4m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)"
15963,rc,900,34,,B,A,23.5,23.5,23.5,,Ⅱ,不良発生率 a=23.5% / a+b=23.5% / a+b+c=23.5% → 発生率ランクA / 腐食=なし / たるみ=B / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
9664,rc,900,32,,,B,18.8,18.8,18.8,,Ⅲ,不良発生率 a=18.8% / a+b=18.8% / a+b+c=18.8% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
9647,rc,900,35,B,,B,2.9,2.9,2.9,,Ⅱ,不良発生率 a=2.9% / a+b=2.9% / a+b+c=2.9% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
9610,rc,900,34,B,,B,0.0,17.6,17.6,,Ⅱ,不良発生率 a=0.0% / a+b=17.6% / a+b+c=17.6% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
18997,rc,900,34,,,B,0.0,0.0,64.7,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=64.7% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
15860,rc,900,32,,,C,0.0,0.0,12.5,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=12.5% → 発生率ランクC / 腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
12868,rc,900,32,,C,,0.0,0.0,0.0,,Ⅲ,腐食=なし / たるみ=C / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
12957,rc,900,26,,,,0.0,0.0,0.0,,異常なし,腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度異常なし(3項目とも異常なし)
12960,rc,900,38,A,,A,2.6,2.6,2.6,○,Ⅰ,"破損a(管No.17, 35.5m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=A / たるみ=なし / ランクA×2・B×0 → 緊急度Ⅰ(ランクAが2項目以上)"
15862,rc,900,36,,,A,2.8,2.8,11.1,○,Ⅱ,"継手ズレa(管No.12, 24.8m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)"
11903,rc,2400,56,,B,A,25.0,25.0,25.0,,Ⅱ,不良発生率 a=25.0% / a+b=25.0% / a+b+c=25.0% → 発生率ランクA / 腐食=なし / たるみ=B / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
11902,rc,2000,47,,,B,19.1,19.1,19.1,,Ⅲ,不良発生率 a=19.1% / a+b=19.1% / a+b+c=19.1% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
11901,rc,2000,57,B,,B,1.8,1.8,1.8,,Ⅱ,不良発生率 a=1.8% / a+b=1.8% / a+b+c=1.8% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
11923,rc,2600,28,B,,B,0.0,17.9,17.9,,Ⅱ,不良発生率 a=0.0% / a+b=17.9% / a+b+c=17.9% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
8895,rc,2000,26,,,B,0.0,0.0,65.4,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=65.4% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
8880,rc,1350,60,,,C,0.0,0.0,11.7,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=11.7% → 発生率ランクC / 腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
9276,rc,900,4,,C,,0.0,0.0,0.0,,Ⅲ,腐食=なし / たるみ=C / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
12970,rc,900,25,,,,0.0,0.0,0.0,,異常なし,腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度異常なし(3項目とも異常なし)
12858,rc,900,21,A,,A,4.8,4.8,4.8,○,Ⅰ,"破損a(管No.13, 26.2m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=A / たるみ=なし / ランクA×2・B×0 → 緊急度Ⅰ(ランクAが2項目以上)"
5980,rc,1650,18,,,A,5.6,5.6,11.1,○,Ⅱ,"継手ズレa(管No.8, 16.9m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)"
