span_id,mh_up,mh_down,material,material_name,diameter_mm,length_m,n_pipes,sekou_year
9596,MH9596U,MH9596D,rc,ヒューム管,900,48.32,20,1986
15960,MH15960U,MH15960D,rc,ヒューム管,900,70.48,29,1986
15963,MH15963U,MH15963D,rc,ヒューム管,900,81.62,34,1986
9664,MH9664U,MH9664D,rc,ヒューム管,900,78.17,32,1986
9647,MH9647U,MH9647D,rc,ヒューム管,900,84.78,35,1986
9610,MH9610U,MH9610D,rc,ヒューム管,900,82.62,34,1986
18997,MH18997U,MH18997D,rc,ヒューム管,900,83.62,34,1986
15860,MH15860U,MH15860D,rc,ヒューム管,900,77.33,32,1987
12868,MH12868U,MH12868D,rc,ヒューム管,900,77.58,32,1987
12957,MH12957U,MH12957D,rc,ヒューム管,900,62.89,26,1987
12960,MH12960U,MH12960D,rc,ヒューム管,900,92.83,38,1987
15862,MH15862U,MH15862D,rc,ヒューム管,900,88.18,36,1987
11903,MH11903U,MH11903D,rc,ヒューム管,2400,136.47,56,1989
11902,MH11902U,MH11902D,rc,ヒューム管,2000,115.0,47,1989
11901,MH11901U,MH11901D,rc,ヒューム管,2000,138.85,57,1989
11923,MH11923U,MH11923D,rc,ヒューム管,2600,69.14,28,1989
8895,MH8895U,MH8895D,rc,ヒューム管,2000,64.0,26,1989
8880,MH8880U,MH8880D,rc,ヒューム管,1350,146.87,60,1989
9276,MH9276U,MH9276D,rc,ヒューム管,900,10.34,4,1988
12970,MH12970U,MH12970D,rc,ヒューム管,900,60.51,25,1988
12858,MH12858U,MH12858D,rc,ヒューム管,900,50.83,21,1988
5980,MH5980U,MH5980D,rc,ヒューム管,1650,43.54,18,1990
6200,MH6200U,MH6200D,rc,ヒューム管,1200,16.62,7,1990
8898,MH8898U,MH8898D,rc,ヒューム管,1200,43.77,18,1990
6192,MH6192U,MH6192D,rc,ヒューム管,1200,44.22,18,1990
6124,MH6124U,MH6124D,rc,ヒューム管,900,25.49,10,1989
6123,MH6123U,MH6123D,rc,ヒューム管,900,49.71,20,1989
6122,MH6122U,MH6122D,rc,ヒューム管,900,77.37,32,1989
8596,MH8596U,MH8596D,rc,ヒューム管,800,88.88,37,1988
8600,MH8600U,MH8600D,rc,ヒューム管,800,88.72,37,1988
8741,MH8741U,MH8741D,rc,ヒューム管,800,72.5,30,1988
10407,MH10407U,MH10407D,rc,ヒューム管,800,95.25,39,1988
12926,MH12926U,MH12926D,rc,ヒューム管,800,18.22,7,1988
10403,MH10403U,MH10403D,rc,ヒューム管,800,91.78,38,1988
20250,MH20250U,MH20250D,rc,ヒューム管,1000,10.2,4,1991
20389,MH20389U,MH20389D,rc,ヒューム管,1100,37.68,16,
20390,MH20390U,MH20390D,rc,ヒューム管,1100,24.41,10,
20391,MH20391U,MH20391D,rc,ヒューム管,1100,52.94,22,
20392,MH20392U,MH20392D,rc,ヒューム管,1100,33.28,14,
20553,MH20553U,MH20553D,rc,ヒューム管,1650,178.74,74,1991
20242,MH20242U,MH20242D,rc,ヒューム管,1200,23.89,10,1991
20243,MH20243U,MH20243D,rc,ヒューム管,1200,84.32,35,1991
20248,MH20248U,MH20248D,rc,ヒューム管,1000,54.89,23,1991
6173,MH6173U,MH6173D,rc,ヒューム管,1500,70.75,29,
11893,MH11893U,MH11893D,rc,ヒューム管,1350,54.93,23,
11896,MH11896U,MH11896D,rc,ヒューム管,800,73.9,30,
11895,MH11895U,MH11895D,rc,ヒューム管,800,82.06,34,
20388,MH20388U,MH20388D,rc,ヒューム管,1100,36.5,15,
20342,MH20342U,MH20342D,rc,ヒューム管,1200,10.31,4,1991
20081,MH20081U,MH20081D,rc,ヒューム管,1800,36.38,15,
20086,MH20086U,MH20086D,rc,ヒューム管,1800,47.77,20,
5718,MH5718U,MH5718D,rc,ヒューム管,2000,45.65,19,
5719,MH5719U,MH5719D,rc,ヒューム管,2000,5.08,2,
12964,MH12964U,MH12964D,ceramic,陶管,250,9.21,9,1987
10379,MH10379U,MH10379D,ceramic,陶管,250,18.3,18,1988
19514,MH19514U,MH19514D,ceramic,陶管,450,10.11,10,
8773,MH8773U,MH8773D,ceramic,陶管,500,107.79,108,1991
8772,MH8772U,MH8772D,ceramic,陶管,500,19.5,20,1991
15102,MH15102U,MH15102D,ceramic,陶管,250,6.71,7,1990
15088,MH15088U,MH15088D,ceramic,陶管,250,7.81,8,1990
