SAUID,sewer_type,length_m,mouth_share,mouth_m,near_m,middle_m
21925,汚水,20.23029478213703,0.494,10.0,10.0,0.23
21926,汚水,53.637822100247206,0.186,10.0,10.0,33.64
21927,汚水,11.853662261089774,0.844,10.0,1.85,0.0
21928,汚水,8.682537071613151,1.0,8.68,0.0,0.0
21929,汚水,19.497816938279094,0.513,10.0,9.5,0.0
21930,汚水,23.689627011717004,0.422,10.0,10.0,3.69
21931,汚水,20.859369324814633,0.479,10.0,10.0,0.86
21932,汚水,11.932165813466055,0.838,10.0,1.93,0.0
21933,汚水,22.409504529317573,0.446,10.0,10.0,2.41
21934,汚水,7.782000064248398,1.0,7.78,0.0,0.0
21935,汚水,92.28470400429076,0.108,10.0,10.0,72.28
21936,汚水,14.403993231044714,0.694,10.0,4.4,0.0
21937,汚水,15.091383585654029,0.663,10.0,5.09,0.0
21938,汚水,17.145949988259026,0.583,10.0,7.15,0.0
21939,汚水,33.032206508172635,0.303,10.0,10.0,13.03
21940,汚水,26.732525507332234,0.374,10.0,10.0,6.73
21941,汚水,48.50394939269567,0.206,10.0,10.0,28.5
21942,汚水,61.52412081451661,0.163,10.0,10.0,41.52
21943,汚水,64.1798051860312,0.156,10.0,10.0,44.18
21944,汚水,27.435302805066037,0.364,10.0,10.0,7.44
21945,汚水,4.127597969757706,1.0,4.13,0.0,0.0
21946,汚水,94.7674251305928,0.106,10.0,10.0,74.77
21947,汚水,33.424499332290694,0.299,10.0,10.0,13.42
21948,汚水,3.6401387336214945,1.0,3.64,0.0,0.0
21949,汚水,13.982019091035905,0.715,10.0,3.98,0.0
21950,汚水,4.288501952895698,1.0,4.29,0.0,0.0
21951,汚水,12.571017540358989,0.795,10.0,2.57,0.0
21952,汚水,16.93510873894296,0.59,10.0,6.94,0.0
21953,汚水,3.645735728224416,1.0,3.65,0.0,0.0
21954,汚水,22.88312850114785,0.437,10.0,10.0,2.88
21955,汚水,17.28169450603369,0.579,10.0,7.28,0.0
21956,汚水,4.948384079679736,1.0,4.95,0.0,0.0
21957,汚水,20.473330090633148,0.488,10.0,10.0,0.47
21958,汚水,7.7038892570662405,1.0,7.7,0.0,0.0
21959,汚水,6.427448405081239,1.0,6.43,0.0,0.0
21960,汚水,25.47336824999762,0.393,10.0,10.0,5.47
21961,汚水,47.4851692047987,0.211,10.0,10.0,27.49
21962,汚水,28.138716213276318,0.355,10.0,10.0,8.14
21963,汚水,26.004951302180316,0.385,10.0,10.0,6.0
21964,汚水,34.69931249276006,0.288,10.0,10.0,14.7
21965,汚水,31.511518609941607,0.317,10.0,10.0,11.51
21966,汚水,19.013068546681154,0.526,10.0,9.01,0.0
21967,汚水,4.155086040030516,1.0,4.16,0.0,0.0
21968,汚水,6.551361537874431,1.0,6.55,0.0,0.0
21969,汚水,2.0707814950029637,1.0,2.07,0.0,0.0
21970,汚水,34.82964957586942,0.287,10.0,10.0,14.83
21971,汚水,8.52119175937119,1.0,8.52,0.0,0.0
21972,汚水,4.179316331649276,1.0,4.18,0.0,0.0
21973,汚水,6.155511676534218,1.0,6.16,0.0,0.0
21974,汚水,11.365480588173327,0.88,10.0,1.37,0.0
21975,汚水,20.507018527260094,0.488,10.0,10.0,0.51
21976,汚水,19.097061815895604,0.524,10.0,9.1,0.0
21977,汚水,3.997861928582282,1.0,4.0,0.0,0.0
21978,汚水,13.357908034658536,0.749,10.0,3.36,0.0
21979,汚水,5.452327209554678,1.0,5.45,0.0,0.0
21980,汚水,23.202289764145366,0.431,10.0,10.0,3.2
21981,汚水,20.636943693286128,0.485,10.0,10.0,0.64
21982,汚水,46.059000011621976,0.217,10.0,10.0,26.06
21983,汚水,21.550131052078594,0.464,10.0,10.0,1.55
21984,汚水,17.719361674038492,0.564,10.0,7.72,0.0
21985,汚水,4.527495775814292,1.0,4.53,0.0,0.0
21986,汚水,21.861163852824617,0.457,10.0,10.0,1.86
21987,汚水,4.864123764870016,1.0,4.86,0.0,0.0
21988,汚水,3.7281858859227253,1.0,3.73,0.0,0.0
21989,汚水,18.848725421099548,0.531,10.0,8.85,0.0
21990,汚水,7.448259461112872,1.0,7.45,0.0,0.0
21991,汚水,4.441384018532394,1.0,4.44,0.0,0.0
21992,汚水,25.801693917759764,0.388,10.0,10.0,5.8
21993,汚水,7.708184546310392,1.0,7.71,0.0,0.0
21994,汚水,18.461204917791633,0.542,10.0,8.46,0.0
21995,汚水,53.19014838295134,0.188,10.0,10.0,33.19
21996,汚水,5.932154498998932,1.0,5.93,0.0,0.0
21997,汚水,15.132742502933372,0.661,10.0,5.13,0.0
21998,汚水,71.39000045544823,0.14,10.0,10.0,51.39
21999,汚水,3.6564284486371106,1.0,3.66,0.0,0.0
22000,汚水,59.39163331652658,0.168,10.0,10.0,39.39
22001,雨水,25.346461454787534,0.395,10.0,10.0,5.35
22002,雨水,33.7406392702012,0.296,10.0,10.0,13.74
22003,汚水,6.606149029506631,1.0,6.61,0.0,0.0
22004,汚水,35.75029454424774,0.28,10.0,10.0,15.75
22005,汚水,44.80059588888352,0.223,10.0,10.0,24.8
22006,汚水,38.2963310444107,0.261,10.0,10.0,18.3
22007,汚水,42.06065203963826,0.238,10.0,10.0,22.06
22008,汚水,20.869683131278745,0.479,10.0,10.0,0.87
22009,汚水,58.016608423788036,0.172,10.0,10.0,38.02
22010,汚水,58.28860849408668,0.172,10.0,10.0,38.29
22011,汚水,40.34985028895038,0.248,10.0,10.0,20.35
22012,汚水,11.43587150155052,0.874,10.0,1.44,0.0
22013,汚水,21.563883741110736,0.464,10.0,10.0,1.56
22014,汚水,11.531872571268881,0.867,10.0,1.53,0.0
22015,汚水,4.696203147228094,1.0,4.7,0.0,0.0
22016,雨水,2.87022945731736,1.0,2.87,0.0,0.0
22017,汚水,20.551637449363778,0.487,10.0,10.0,0.55
22018,汚水,5.409352641485939,1.0,5.41,0.0,0.0
22019,汚水,3.886028949969812,1.0,3.89,0.0,0.0
22020,汚水,56.41645572880408,0.177,10.0,10.0,36.42
22021,雨水,2.7920028653293243,1.0,2.79,0.0,0.0
22022,雨水,29.761631742901383,0.336,10.0,10.0,9.76
22023,汚水,8.955400605222735,1.0,8.96,0.0,0.0
22024,汚水,21.18140347097789,0.472,10.0,10.0,1.18
22025,汚水,10.944380521529387,0.914,10.0,0.94,0.0
22026,汚水,27.52791721143954,0.363,10.0,10.0,7.53
22027,汚水,8.56911909114889,1.0,8.57,0.0,0.0
22028,汚水,10.086695494561356,0.991,10.0,0.09,0.0
22029,汚水,34.84510423404646,0.287,10.0,10.0,14.85
22030,汚水,16.373607061151137,0.611,10.0,6.37,0.0
22031,汚水,51.24958600291207,0.195,10.0,10.0,31.25
22032,汚水,16.700053078282345,0.599,10.0,6.7,0.0
22033,汚水,5.900566074536334,1.0,5.9,0.0,0.0
22034,汚水,1.9498628156805762,1.0,1.95,0.0,0.0
22035,汚水,39.452116263825566,0.253,10.0,10.0,19.45
22036,雨水,19.63310054474015,0.509,10.0,9.63,0.0
22037,雨水,6.658130443302952,1.0,6.66,0.0,0.0
22038,汚水,21.219543007559032,0.471,10.0,10.0,1.22
22039,汚水,6.247795131086111,1.0,6.25,0.0,0.0
22040,汚水,23.191690455562046,0.431,10.0,10.0,3.19
22041,汚水,10.17328197405568,0.983,10.0,0.17,0.0
22042,汚水,29.441761541605437,0.34,10.0,10.0,9.44
22043,汚水,31.534049295959303,0.317,10.0,10.0,11.53
22044,汚水,12.050747902100102,0.83,10.0,2.05,0.0
22045,汚水,22.13912920600399,0.452,10.0,10.0,2.14
22046,汚水,15.993061651852429,0.625,10.0,5.99,0.0
22047,汚水,33.14044227224661,0.302,10.0,10.0,13.14
22048,汚水,5.154297818330463,1.0,5.15,0.0,0.0
22049,汚水,2.526521125979129,1.0,2.53,0.0,0.0
22050,汚水,3.5918943469939695,1.0,3.59,0.0,0.0
22051,汚水,4.825565251857018,1.0,4.83,0.0,0.0
22052,汚水,2.7123100855190225,1.0,2.71,0.0,0.0
22053,汚水,4.032042162480588,1.0,4.03,0.0,0.0
22054,汚水,3.547979706814413,1.0,3.55,0.0,0.0
22055,汚水,24.96493991581092,0.401,10.0,10.0,4.96
22056,雨水,15.234736263060656,0.656,10.0,5.23,0.0
22057,雨水,19.448439131035084,0.514,10.0,9.45,0.0
22058,雨水,19.63667551356985,0.509,10.0,9.64,0.0
22059,雨水,39.07865882076437,0.256,10.0,10.0,19.08
22060,汚水,29.853693908790476,0.335,10.0,10.0,9.85
22061,汚水,17.884948084920293,0.559,10.0,7.88,0.0
22062,汚水,3.9309634951205026,1.0,3.93,0.0,0.0
22063,汚水,11.740067035431917,0.852,10.0,1.74,0.0
22064,汚水,19.98549980836884,0.5,10.0,9.99,0.0
22065,汚水,30.730020229265246,0.325,10.0,10.0,10.73
22066,汚水,4.523159625741685,1.0,4.52,0.0,0.0
22067,汚水,68.99709515631467,0.145,10.0,10.0,49.0
22068,汚水,46.08372938326365,0.217,10.0,10.0,26.08
22069,汚水,19.374678172323552,0.516,10.0,9.37,0.0
22070,汚水,29.93595117945085,0.334,10.0,10.0,9.94
22071,汚水,3.8761282228600202,1.0,3.88,0.0,0.0
22072,汚水,3.6011242688947367,1.0,3.6,0.0,0.0
22073,汚水,10.347282010268712,0.966,10.0,0.35,0.0
22074,汚水,10.451248011602202,0.957,10.0,0.45,0.0
22075,汚水,3.2351321456801125,1.0,3.24,0.0,0.0
22076,汚水,16.383583246652012,0.61,10.0,6.38,0.0
22077,汚水,32.101720797007054,0.312,10.0,10.0,12.1
22078,汚水,15.411850310717814,0.649,10.0,5.41,0.0
22079,汚水,14.661214990581934,0.682,10.0,4.66,0.0
22080,汚水,16.47559491973564,0.607,10.0,6.48,0.0
22081,汚水,4.144861879491089,1.0,4.14,0.0,0.0
22082,汚水,73.53609158248565,0.136,10.0,10.0,53.54
22083,汚水,11.351848527885299,0.881,10.0,1.35,0.0
22084,汚水,33.7067854769629,0.297,10.0,10.0,13.71
22085,汚水,3.3458955452968446,1.0,3.35,0.0,0.0
22086,汚水,37.00785821539889,0.27,10.0,10.0,17.01
22087,汚水,28.599940292501405,0.35,10.0,10.0,8.6
22088,汚水,3.8776860367900787,1.0,3.88,0.0,0.0
22089,汚水,41.22249799173764,0.243,10.0,10.0,21.22
22090,汚水,2.728220116296203,1.0,2.73,0.0,0.0
22091,汚水,26.646910428195106,0.375,10.0,10.0,6.65
22092,汚水,13.570421138850088,0.737,10.0,3.57,0.0
22093,汚水,64.05648076577681,0.156,10.0,10.0,44.06
22094,汚水,6.9979635552106165,1.0,7.0,0.0,0.0
22095,汚水,23.346196472398113,0.428,10.0,10.0,3.35
22096,汚水,32.8012900452294,0.305,10.0,10.0,12.8
22097,汚水,19.410794380359782,0.515,10.0,9.41,0.0
22098,汚水,32.49617759859912,0.308,10.0,10.0,12.5
22099,汚水,33.93222540656174,0.295,10.0,10.0,13.93
22100,汚水,33.99928959552233,0.294,10.0,10.0,14.0
22101,汚水,7.17005306815253,1.0,7.17,0.0,0.0
22102,汚水,27.30445621160608,0.366,10.0,10.0,7.3
22103,汚水,24.835040769037242,0.403,10.0,10.0,4.84
22104,汚水,33.51042953939431,0.298,10.0,10.0,13.51
22105,汚水,2.2672847196588166,1.0,2.27,0.0,0.0
22106,汚水,17.05297327736176,0.586,10.0,7.05,0.0
22107,汚水,29.008998676592604,0.345,10.0,10.0,9.01
22108,汚水,20.295116758514098,0.493,10.0,10.0,0.3
22109,汚水,28.302608347114937,0.353,10.0,10.0,8.3
