sink_x,sink_y,sink_indegree,run_pipes,run_length_m,stopped_at_indegree
-23178.11,-120941.0,1,26,1108.3,2
-18379.29,-118119.29000000001,1,15,796.5,2
-19864.16,-120550.52,1,17,453.2,0
-24787.36,-122658.92,1,14,348.1,0
-25161.88,-122947.96,1,4,267.2,0
-19136.600000000002,-121122.65000000001,1,7,267.0,0
-17873.99,-119799.07,1,5,253.3,3
-25105.61,-122122.14,1,3,224.1,0
-23840.920000000002,-124036.3,1,3,202.2,0
-22161.97,-121750.52,1,3,196.8,3
-18639.78,-119689.35,1,5,179.8,2
-19916.88,-120552.58,1,9,173.4,2
-22126.61,-121489.39,1,4,172.5,3
-23116.07,-122062.8,1,6,167.7,0
-18623.82,-119695.52,1,5,167.5,2
-19798.97,-118999.63,1,4,163.8,0
-17753.420000000002,-119901.42,1,5,158.6,2
-19046.02,-119610.44,1,3,158.1,0
-25205.100000000002,-121998.03,1,2,157.2,0
-20271.33,-121310.34,1,1,154.7,2
-22234.0,-121958.0,1,7,145.8,0
-22994.77,-122102.2,1,4,145.4,0
-23068.46,-122830.35,1,4,140.0,0
-23246.96,-122829.94,1,3,138.1,2
-19637.87,-121150.24,1,1,132.5,3
-19930.36,-119031.79000000001,1,3,130.5,0
-23071.78,-122577.72,1,3,129.9,0
-21871.77,-122351.01000000001,1,6,123.1,2
-20591.89,-123502.0,1,3,120.5,2
-21662.78,-122924.66,1,4,115.8,2
-22021.46,-123432.56,1,4,113.3,0
-23702.71,-122152.64,1,3,109.4,0
-24846.170000000002,-122907.13,1,3,109.3,0
-24810.510000000002,-122763.99,1,3,107.8,0
-21542.12,-122559.84,1,3,103.9,0
-23089.03,-125291.33,1,2,103.5,2
-22151.68,-124181.99,1,4,102.7,0
-21165.97,-122157.88,1,2,91.7,2
-22495.68,-124201.96,1,2,91.3,0
-25171.690000000002,-122681.06,1,1,90.1,0
-19638.37,-121485.5,1,1,89.5,3
-22148.53,-124183.82,1,2,89.2,2
-24904.77,-123267.89,1,6,85.5,0
-21468.88,-122404.74,1,4,81.8,0
-19262.21,-119824.55,1,1,80.1,0
-22145.82,-121638.92,1,2,79.7,3
-23123.170000000002,-124750.71,1,1,75.8,2
-22165.78,-120850.61,1,2,75.5,2
-23071.29,-123446.46,1,2,73.8,2
-21871.3,-122951.47,1,2,70.8,0
-21424.12,-123250.57,1,1,70.6,2
-22170.86,-120850.91,1,2,68.2,2
-22253.58,-123639.87,1,3,68.0,0
-19289.7,-119802.76000000001,1,2,66.7,0
-18403.48,-120424.68000000001,1,3,61.1,2
-19744.4,-121011.69,1,1,60.6,2
-20350.4,-119388.3,1,1,60.6,0
-19818.18,-120749.41,1,3,59.3,0
-19976.45,-123550.57,1,1,57.4,0
-19753.58,-120750.79000000001,1,4,55.3,0
-23406.63,-123494.87,1,1,54.8,2
-22785.3,-122834.86,1,1,54.7,0
-22282.2,-123752.77,1,1,51.9,5
-21909.350000000002,-122590.03,1,1,51.2,0
-22313.15,-124337.11,1,1,48.8,0
-22854.8,-121735.32,1,1,48.2,0
-23577.4,-125035.83,1,1,47.1,0
-22179.05,-123591.51000000001,1,1,46.1,2
-22879.3,-121696.40000000001,1,1,45.7,0
-19836.97,-120467.88,1,1,45.6,2
-22283.75,-123753.67,1,1,45.6,3
-22546.0,-124154.41,1,1,44.4,2
-19807.43,-119043.06,1,1,44.2,0
-23203.2,-122835.78,1,2,44.2,2
-20671.32,-121310.06,1,1,43.8,2
-22180.49,-124226.58,1,1,42.9,5
-19813.96,-119082.47,1,1,40.1,0
-24869.62,-123286.94,1,1,39.9,0
-21573.010000000002,-122806.08,1,2,39.9,2
-20380.89,-121780.46,1,1,39.4,3
-21650.600000000002,-121145.09,1,3,39.1,0
-22530.94,-122679.39,1,2,38.7,0
-23071.28,-125394.35,1,1,38.6,2
-24819.58,-122801.43000000001,1,1,38.3,0
-23338.04,-122825.75,1,1,37.1,0
-19020.08,-119643.39,1,2,36.9,0
-23121.36,-121754.26000000001,1,2,35.8,0
-21441.11,-123455.08,1,1,35.2,0
-20966.45,-122650.55,1,2,34.8,2
-21555.89,-123346.87,1,3,34.2,0
-23540.98,-122219.17,1,1,32.9,0
-23871.27,-124455.42,1,1,30.0,2
-21379.09,-123064.81,1,1,29.0,0
-20129.69,-120793.52,1,2,28.6,2
-21285.22,-122578.79000000001,1,1,26.4,0
-19816.65,-120535.53,1,1,26.1,2
-19778.510000000002,-121009.94,1,1,25.2,0
-22502.39,-124891.68000000001,1,1,24.2,0
-20816.66,-122524.87,1,1,23.4,0
-22391.87,-121151.82,1,1,23.3,0
-19295.88,-119846.59,1,1,23.0,2
-19915.48,-120564.99,1,1,22.8,0
-25704.31,-123021.34,1,1,22.6,2
-20060.54,-118899.78,1,1,21.4,0
-25514.38,-123350.37,1,1,21.2,0
-21212.98,-122444.98,1,1,20.6,0
-18694.170000000002,-119232.19,1,2,20.6,2
-22244.29,-122611.84,1,1,19.8,0
-20710.63,-120294.92,1,1,19.3,0
-22218.4,-124150.62,1,1,18.2,2
-19638.21,-120548.31,1,1,17.7,0
-22169.78,-122050.58,1,1,17.6,2
-23418.29,-122254.49,1,1,17.0,0
-22507.86,-121750.52,1,1,15.9,2
-22527.57,-124497.54000000001,1,1,15.4,0
-19084.59,-117870.76000000001,1,1,15.2,0
-22909.47,-123550.59,1,1,15.1,0
-22457.3,-125303.19,1,1,14.8,0
-21088.920000000002,-121161.07,1,1,13.7,2
-22271.24,-121041.66,1,1,13.5,3
-23139.100000000002,-121772.96,1,1,12.7,0
-22889.170000000002,-121689.47,1,1,12.2,0
-21469.29,-122350.54000000001,1,1,11.7,2
-22130.58,-124150.62,1,1,10.3,4
-24930.9,-123352.94,1,1,10.0,0
-20671.32,-123467.90000000001,1,1,9.8,0
-20716.510000000002,-123543.14,1,1,8.6,0
-22503.94,-124845.88,1,1,8.5,4
-20808.88,-120420.94,1,1,8.3,0
-20712.09,-123550.57,1,1,8.1,3
-20885.46,-122467.22,1,2,7.4,2
-23321.39,-121429.6,1,1,6.8,2
-23149.89,-121766.37,1,1,6.6,0
-23152.21,-121735.57,1,1,6.5,0
-22429.61,-122578.04000000001,1,1,5.5,0
-22671.24,-124030.05,1,1,5.5,3
-19036.61,-120179.42,1,1,5.1,0
-17872.25,-120036.23,1,1,4.0,2
-22221.2,-122081.15000000001,1,1,3.3,2
-21757.56,-122050.53,1,1,2.1,2
-24993.78,-123572.89,2,0,0.0,2
-22579.57,-123904.94,2,0,0.0,2
-19345.28,-118250.04000000001,3,0,0.0,3
-21259.9,-121964.71,2,0,0.0,2
-18382.9,-120539.8,3,0,0.0,3
-19107.920000000002,-119346.92,2,0,0.0,2
-21795.23,-122913.89,2,0,0.0,2
-22347.16,-120864.24,2,0,0.0,2
-23088.63,-122375.74,2,0,0.0,2
-22048.73,-123899.85,2,0,0.0,2
-22369.3,-121164.32,2,0,0.0,2
-25518.74,-123371.82,2,0,0.0,2
-18415.79,-120299.75,3,0,0.0,3
-22538.36,-120720.48,2,0,0.0,2
-22485.9,-124779.52,2,0,0.0,2
-18245.65,-120230.62,2,0,0.0,2
-22041.71,-123522.46,2,0,0.0,2
-18224.46,-119997.04000000001,2,0,0.0,2
-19104.23,-118767.77,3,0,0.0,3
-21071.02,-122917.46,3,0,0.0,3
-20058.91,-118878.46,2,0,0.0,2
-19375.07,-118305.04000000001,2,0,0.0,2
-22937.58,-121708.48,3,0,0.0,3
-21357.96,-122928.46,2,0,0.0,2
-20418.48,-120996.22,2,0,0.0,2
-25563.12,-123353.47,2,0,0.0,2
-21327.24,-121275.27,2,0,0.0,2
-19778.55,-120319.63,3,0,0.0,3
-19158.760000000002,-118090.46,2,0,0.0,2
-21730.3,-122538.32,3,0,0.0,3
-19184.27,-118782.82,2,0,0.0,2
-20088.36,-123584.92,3,0,0.0,3
-20274.95,-120764.97,2,0,0.0,2
-20451.850000000002,-121444.33,4,0,0.0,4
-22926.69,-123226.44,2,0,0.0,2
-23724.850000000002,-123475.33,2,0,0.0,2
-20461.05,-121496.68000000001,2,0,0.0,2
-21483.52,-121707.09,2,0,0.0,2
-25417.18,-123090.37,3,0,0.0,3
-19349.83,-118156.52,2,0,0.0,2
-25666.81,-123089.93000000001,2,0,0.0,2
-23340.22,-123725.8,2,0,0.0,2
-20238.510000000002,-121210.93000000001,2,0,0.0,2
-18265.350000000002,-120366.28,2,0,0.0,2
-21928.79,-122815.21,3,0,0.0,3
-21656.84,-123152.36,2,0,0.0,2
-22863.420000000002,-124077.14,2,0,0.0,2
-22439.8,-123228.3,2,0,0.0,2
-19326.19,-117947.24,2,0,0.0,2
-21966.14,-121467.69,3,0,0.0,3
-25799.93,-123114.86,2,0,0.0,2
-19138.31,-118674.3,2,0,0.0,2
-21321.52,-121545.02,2,0,0.0,2
-20044.87,-120560.6,2,0,0.0,2
-20449.63,-121368.02,2,0,0.0,2
-19173.99,-118427.89,2,0,0.0,2
-22967.57,-124462.85,2,0,0.0,2
-21560.66,-122741.88,2,0,0.0,2
-20053.37,-121459.41,3,0,0.0,3
-19894.34,-121363.43000000001,2,0,0.0,2
-23688.14,-123485.04000000001,3,0,0.0,3
-18899.19,-119180.79000000001,3,0,0.0,3
-23214.71,-121931.85,3,0,0.0,3
-22979.66,-125413.76000000001,2,0,0.0,2
-21485.94,-123013.68000000001,2,0,0.0,2
