SAUID,system,dia_mm,material,year,length_m
22581,雨水,8100.0,その他,,10.198299122882334
11883,雨水,7000.0,その他,1997.0,7.579783967895176
11885,雨水,7000.0,その他,1997.0,19.834758911238467
11884,雨水,7000.0,その他,1997.0,3.236987642985846
11899,雨水,5000.0,その他,1997.0,16.32315095194271
11898,雨水,5000.0,その他,1997.0,10.077830570127821
8882,雨水,5000.0,その他,1997.0,30.934018010289265
6185,雨水,5000.0,その他,1997.0,51.48358561716731
11882,雨水,5000.0,その他,1997.0,38.000847582649435
20571,雨水,5000.0,その他,1997.0,32.4060848424669
22698,雨水,4500.0,ヒューム管,2009.0,9.352140557110896
20429,雨水,4500.0,ヒューム管,2009.0,5.342920851145047
22699,雨水,4500.0,ヒューム管,2009.0,1.6816022121801977
22697,雨水,4000.0,ヒューム管,2009.0,2.013331815670638
20418,雨水,4000.0,ヒューム管,2009.0,47.79511039654525
20425,雨水,4000.0,ヒューム管,2009.0,52.50439931699807
20386,雨水,4000.0,ヒューム管,2009.0,48.7153347477783
20384,雨水,4000.0,ヒューム管,2009.0,48.228146325675624
20419,雨水,4000.0,ヒューム管,2009.0,53.03016448694636
19355,雨水,4000.0,その他,,31.311996073512567
5361,雨水,4000.0,ヒューム管,2009.0,34.00470956535935
22694,雨水,4000.0,ヒューム管,2009.0,6.26772374950794
20287,雨水,4000.0,ヒューム管,2009.0,27.875578613523675
5807,雨水,3800.0,その他,,38.452606099269595
19715,雨水,3500.0,その他,,10.486706680363202
19714,雨水,3500.0,その他,,10.481688079696543
20286,雨水,3500.0,ヒューム管,2009.0,68.834850778197
22695,雨水,3500.0,ヒューム管,2009.0,99.3834676389053
22700,雨水,3500.0,ヒューム管,2009.0,19.420039160617886
22701,雨水,3500.0,ヒューム管,2009.0,59.30807932314566
19739,雨水,3500.0,その他,,6.672882344845751
19721,雨水,3500.0,その他,,6.340211646320265
22696,雨水,3500.0,ヒューム管,2009.0,81.1813640626333
11461,雨水,3500.0,ヒューム管,1994.0,98.77685476547651
19698,雨水,3500.0,その他,,11.991943462167786
19697,雨水,3500.0,その他,,14.13835704741308
19699,雨水,3500.0,その他,,5.720332333000946
19700,雨水,3500.0,その他,,7.5767912073714445
19696,雨水,3500.0,その他,,20.09718012558162
19702,雨水,3500.0,その他,,19.692879347626153
19701,雨水,3500.0,その他,,21.75310931797664
19705,雨水,3500.0,その他,,19.901926992123514
19695,雨水,3500.0,その他,,20.096693509132237
19354,雨水,3500.0,その他,,32.4090558347481
19713,雨水,3500.0,その他,,30.558176139935686
19703,雨水,3500.0,その他,,20.601394248927296
19717,雨水,3500.0,その他,,73.47169381460976
19718,雨水,3500.0,その他,,4.804941831072816
19719,雨水,3500.0,その他,,10.876222791887088
19716,雨水,3500.0,その他,,3.0047493505583747
19706,雨水,3500.0,その他,,6.701619580368252
19704,雨水,3500.0,その他,,20.256295441180903
19707,雨水,3500.0,その他,,9.050093789112342
19720,雨水,3500.0,その他,,8.031784919936554
5732,雨水,3300.0,その他,,41.64332287026996
5799,雨水,3300.0,その他,,34.47887296273312
20551,雨水,3300.0,その他,,46.40065684512098
5800,雨水,3300.0,その他,,36.50307427576305
11967,雨水,3000.0,その他,,19.368668475032162
11971,雨水,3000.0,その他,,14.501810260321045
11965,雨水,3000.0,その他,,102.28616528912475
11966,雨水,3000.0,その他,,86.97306927588353
19815,雨水,3000.0,シールド,2004.0,340.582709222419
19746,雨水,3000.0,シールド,2004.0,258.9604083120095
19757,雨水,3000.0,シールド,2004.0,129.00039811515205
19722,雨水,3000.0,シールド,2004.0,190.49780302680156
6184,雨水,3000.0,その他,1997.0,180.8684322840401
19093,雨水,3000.0,その他,,25.183228406316946
6079,雨水,3000.0,その他,1997.0,7.540225261891426
19114,雨水,3000.0,その他,,28.964017360794994
6080,雨水,3000.0,その他,1997.0,6.171185056375691
8847,雨水,3000.0,その他,1997.0,50.02439108034014
8925,雨水,3000.0,,,50.366509240579944
9264,雨水,3000.0,シールド,2004.0,41.280078236257616
22720,雨水,3000.0,,,13.404854083499648
402,汚水,3000.0,シールド,2004.0,44.913416988660956
19814,雨水,3000.0,シールド,2004.0,218.46451750995232
6081,雨水,3000.0,その他,1997.0,143.75665681246187
6029,雨水,3000.0,現場打,,12.75012254843211
6181,雨水,3000.0,その他,1997.0,78.20427418013574
5795,雨水,3000.0,,,127.16449114343895
6182,雨水,3000.0,その他,1997.0,5.297459768601599
8846,雨水,3000.0,その他,1997.0,110.30902224439134
6183,雨水,3000.0,その他,1997.0,4.437816580250441
19427,雨水,2700.0,,,109.67822821131335
11872,雨水,2700.0,その他,1997.0,89.22113883106317
484,雨水,2700.0,,,63.59557445648088
11923,雨水,2600.0,ヒューム管,1989.0,69.14498427953778
22448,雨水,2600.0,ヒューム管,,166.8233809272527
22449,雨水,2600.0,ヒューム管,,171.77647206180762
22445,雨水,2600.0,ヒューム管,,7.424053946461659
11905,雨水,2600.0,ヒューム管･推進管,2004.0,97.13042732364184
11927,雨水,2600.0,ヒューム管･推進管,2004.0,30.692553641478145
22450,雨水,2600.0,ヒューム管,,10.792937737238583
22446,雨水,2600.0,ヒューム管,,49.83464944193144
22447,雨水,2600.0,ヒューム管,,88.10617297329615
22597,雨水,2600.0,その他,,17.030843343766733
22596,雨水,2600.0,その他,,29.46859060084495
22638,雨水,2500.0,その他,,5.100049019375078
