SAUID,system,dia_mm,material,length_m
8950,雨水,1650.0,シールド,1214.2861061817646
20544,雨水,2200.0,,919.4481664940748
10829,雨水,2000.0,ヒューム管,797.3154258949196
22451,雨水,1200.0,ヒューム管,630.1748179014472
5981,雨水,2200.0,シールド,421.60435106180387
20060,雨水,2000.0,ヒューム管･推進管,312.0847973275148
21366,雨水,1500.0,ヒューム管,241.91591723532008
19814,雨水,3000.0,シールド,218.46451750995232
19650,雨水,800.0,ヒューム管,206.88650732986383
1989,汚水,650.0,その他,120.26430418832669
12731,汚水,300.0,ヒューム管,105.4494674808576
16082,汚水,600.0,ヒューム管･推進管,104.83029575500129
5532,汚水,600.0,ヒューム管･推進管,99.69919356019481
7495,汚水,400.0,塩ビ管,95.81829994042351
10456,汚水,600.0,ヒューム管,77.41939781771319
9665,汚水,600.0,ヒューム管,76.81443141289168
14680,汚水,150.0,硬質塩ビ管,72.3394164720257
8717,汚水,300.0,ヒューム管,72.08053819398454
11923,雨水,2600.0,ヒューム管,69.14498427953778
20536,雨水,1650.0,ヒューム管･推進管,54.98868541039027
11730,雨水,1200.0,ヒューム管,54.05597450786161
11545,汚水,250.0,塩ビ管,52.673314909287676
14741,汚水,600.0,ヒューム管,52.265245124961275
14704,汚水,600.0,ヒューム管,51.96418374738644
11626,雨水,1000.0,,44.858026898464665
15085,汚水,400.0,ヒューム管,39.683511986795104
7141,汚水,200.0,塩ビ管･推進管,37.26073527787582
20524,雨水,1350.0,塩ビ管,35.41980466071163
5286,汚水,200.0,塩ビ管,35.282767056577754
19658,雨水,600.0,ヒューム管,34.99982773453999
13194,汚水,150.0,硬質塩ビ管,31.682200574967094
16690,汚水,250.0,塩ビ管,31.37209700831607
22596,雨水,2600.0,その他,29.46859060084495
11466,雨水,800.0,塩ビ管,28.941578069872072
12359,汚水,250.0,ヒューム管,27.547787897471622
20088,雨水,800.0,ヒューム管,26.088717136649603
20347,雨水,1500.0,,21.650239266888416
22008,汚水,150.0,,20.869683131278745
19994,雨水,1100.0,ヒューム管,20.78105793745602
16537,汚水,250.0,ヒューム管,20.329642960707016
11637,雨水,700.0,,19.3013373808978
14988,汚水,250.0,,17.240764281817437
5537,汚水,200.0,硬質塩ビ管,17.23905823705995
12227,雨水,2500.0,陶管,16.77831576768302
5415,雨水,1200.0,,15.349922859330743
19876,雨水,1350.0,ヒューム管,14.760493520607346
11925,雨水,2000.0,,11.574159707051157
14740,汚水,600.0,ヒューム管,9.127922119263467
14681,汚水,150.0,硬質塩ビ管,7.401614501187553
16535,汚水,250.0,ヒューム管,6.963885111422219
5536,汚水,200.0,硬質塩ビ管,2.6136873381673267
