SAUID,system,dia_mm,road_up,road_dn,length_m
11469,雨水,1200.0,愛知県,愛知県,341.6690680010727
20527,雨水,2000.0,愛知県,愛知県,259.49055636555016
19927,雨水,1650.0,建設省,建設省,225.73029600828522
19931,雨水,1650.0,建設省,建設省,202.40376756801308
20033,雨水,1100.0,愛知県,愛知県,199.53316730884143
6119,雨水,1350.0,愛知県,建設省,181.5686672982439
20553,雨水,1650.0,建設省,建設省,178.7380688671285
11415,雨水,2200.0,愛知県,愛知県,169.26666749956496
12197,雨水,1200.0,建設省,建設省,150.72609669520264
6205,雨水,1350.0,愛知県,愛知県,147.48612087377487
11416,雨水,2200.0,愛知県,愛知県,147.23661335140866
12219,雨水,1200.0,建設省,建設省,142.6111673951049
6093,雨水,800.0,愛知県,愛知県,140.5550171889954
17353,汚水,350.0,愛知県,愛知県,133.6624466024119
19956,雨水,1350.0,愛知県,愛知県,133.58664031563146
20564,雨水,1350.0,建設省,建設省,132.6881774605967
20526,雨水,2000.0,愛知県,愛知県,129.48874718902158
19930,雨水,1350.0,建設省,建設省,122.66265271356166
6055,雨水,2000.0,愛知県,愛知県,121.45409688087892
11724,雨水,1200.0,建設省,建設省,120.72625340211202
17354,汚水,350.0,愛知県,愛知県,118.21963590916455
11467,雨水,2200.0,愛知県,愛知県,114.58272392923679
21274,汚水,350.0,愛知県,愛知県,110.38863560014973
3454,汚水,250.0,愛知県,愛知県,107.5001572359084
8897,雨水,1350.0,愛知県,愛知県,107.22684646075795
8886,雨水,1650.0,愛知県,愛知県,106.28874018025058
172,汚水,400.0,愛知県,愛知県,106.22592658497244
9296,汚水,300.0,愛知県,愛知県,106.00025503224104
1460,汚水,300.0,愛知県,愛知県,103.41528537573933
1356,汚水,300.0,愛知県,愛知県,102.43564938201759
21276,汚水,350.0,愛知県,愛知県,102.00837480726119
16091,汚水,350.0,愛知県,愛知県,102.00354806342415
20529,雨水,800.0,愛知県,愛知県,101.04862914389022
173,汚水,500.0,愛知県,愛知県,101.04460892931345
16102,汚水,150.0,愛知県,愛知県,98.4666472327652
6497,汚水,200.0,建設省,建設省,98.44605392830867
16090,汚水,350.0,愛知県,愛知県,98.1974976922516
6132,雨水,2000.0,愛知県,愛知県,98.01022833915415
2412,汚水,600.0,愛知県,愛知県,97.55502828872561
11405,雨水,1350.0,愛知県,愛知県,97.30242758347126
3455,汚水,250.0,愛知県,愛知県,97.15791400317721
8879,雨水,2000.0,愛知県,愛知県,96.06743350262612
3453,汚水,250.0,愛知県,愛知県,96.05937479591438
9252,汚水,350.0,愛知県,愛知県,95.83287239560444
1357,汚水,300.0,愛知県,愛知県,94.35159372087725
11721,雨水,1200.0,建設省,建設省,93.44554680550172
8297,汚水,150.0,建設省,建設省,93.07498303919654
21275,汚水,350.0,愛知県,愛知県,92.13938943681008
19929,雨水,1200.0,建設省,建設省,91.33291449767401
