SAUID,system,dia_mm,year,length_m
21925,汚水,150.0,2015.0,20.23029478213703
21926,汚水,150.0,2015.0,53.637822100247206
21927,汚水,150.0,2015.0,11.853662261089774
21928,汚水,150.0,2015.0,8.682537071613151
21929,汚水,150.0,2015.0,19.497816938279094
21930,汚水,150.0,2015.0,23.689627011717004
21931,汚水,150.0,2015.0,20.859369324814633
21932,汚水,150.0,2015.0,11.932165813466055
21933,汚水,150.0,2015.0,22.409504529317573
21934,汚水,150.0,2015.0,7.782000064248398
21935,汚水,150.0,2015.0,92.28470400429076
21936,汚水,150.0,2015.0,14.403993231044714
21937,汚水,150.0,2015.0,15.091383585654029
21938,汚水,150.0,2015.0,17.145949988259026
21939,汚水,150.0,2015.0,33.032206508172635
21940,汚水,150.0,2015.0,26.732525507332234
21941,汚水,150.0,2015.0,48.50394939269567
21942,汚水,150.0,2015.0,61.52412081451661
21943,汚水,150.0,2015.0,64.1798051860312
21944,汚水,150.0,2015.0,27.435302805066037
21945,汚水,150.0,2015.0,4.127597969757706
21946,汚水,150.0,2015.0,94.7674251305928
21947,汚水,150.0,2015.0,33.424499332290694
21948,汚水,150.0,2015.0,3.6401387336214945
21949,汚水,150.0,2015.0,13.982019091035905
21950,汚水,150.0,2015.0,4.288501952895698
21951,汚水,150.0,2015.0,12.571017540358989
21952,汚水,150.0,2015.0,16.93510873894296
21953,汚水,150.0,2015.0,3.645735728224416
21954,汚水,150.0,2015.0,22.88312850114785
21955,汚水,150.0,2015.0,17.28169450603369
21956,汚水,150.0,2015.0,4.948384079679736
21957,汚水,150.0,2015.0,20.473330090633148
21958,汚水,150.0,2015.0,7.7038892570662405
21959,汚水,150.0,2015.0,6.427448405081239
21960,汚水,150.0,2015.0,25.47336824999762
21961,汚水,150.0,2015.0,47.4851692047987
21962,汚水,150.0,2015.0,28.138716213276318
21963,汚水,150.0,2015.0,26.004951302180316
21964,汚水,150.0,2015.0,34.69931249276006
21965,汚水,150.0,2015.0,31.511518609941607
21966,汚水,150.0,2015.0,19.013068546681154
21967,汚水,150.0,2015.0,4.155086040030516
21968,汚水,150.0,2015.0,6.551361537874431
21969,汚水,150.0,2015.0,2.0707814950029637
21970,汚水,150.0,2015.0,34.82964957586942
21971,汚水,150.0,2015.0,8.52119175937119
21972,汚水,150.0,2015.0,4.179316331649276
21973,汚水,150.0,2015.0,6.155511676534218
21974,汚水,150.0,2015.0,11.365480588173327
21975,汚水,150.0,2015.0,20.507018527260094
21976,汚水,150.0,2015.0,19.097061815895604
21977,汚水,150.0,2015.0,3.997861928582282
21978,汚水,150.0,2015.0,13.357908034658536
21979,汚水,150.0,2015.0,5.452327209554678
21980,汚水,150.0,2015.0,23.202289764145366
21981,汚水,150.0,2015.0,20.636943693286128
